wsi_name,case,parent_id,region,scan_mag,roi_group,roi_im_path,roi_im_left,roi_im_top,roi_im_right,roi_im_bottom,url_to_parent_roi,roi_corners,roi_width,roi_height,im_left,im_top,im_right,im_bottom,box_coords,pt_x,pt_y,im_path,url_to_im,cohort,labels,groups
OS03-163_1A_TAU.svs,A03-74,638147637f8a5e686a52dded,Hippocampus,40.0,ROIv2,/workspace/data/rois/annotated-cohort/images/novice3_id-638147347f8a5e686a529492_left-36627_top-47431_right-39464_bottom-52356.png,36627,47431,39464,52356,https://computablebrain.emory.edu/histomics#?image=638147637f8a5e686a52dded&bounds=36627%2C47431%2C39464%2C52356%2C0,36627 47436 39455 47431 39464 52351 36636 52356,2828.0,4920.000000000003,36412,47246,36912,47746,36628 47459 36701 47524,36662,47496,/workspace/data/annotations/638147347f8a5e686a529492-left_36412-top_47246-right_36912-bottom_47746.png,https://computablebrain.emory.edu/histomics#?image=638147347f8a5e686a529492&bounds=36412%2C47246%2C36912%2C47746%2C0,Annotated-Cohort,iNFT;iNFT;iNFT;iNFT;iNFT;iNFT;background;background;background,novice3;expert1;expert2;novice4;expert4;novice2;expert5;expert3;novice1
OS03-163_1A_TAU.svs,A03-74,638147637f8a5e686a52dded,Hippocampus,40.0,ROIv2,/workspace/data/rois/annotated-cohort/images/novice3_id-638147347f8a5e686a529492_left-36627_top-47431_right-39464_bottom-52356.png,36627,47431,39464,52356,https://computablebrain.emory.edu/histomics#?image=638147637f8a5e686a52dded&bounds=36627%2C47431%2C39464%2C52356%2C0,36627 47436 39455 47431 39464 52351 36636 52356,2828.0,4920.000000000003,36547,48573,37047,49073,36761 48784 36845 48863,36797,48823,/workspace/data/annotations/638147347f8a5e686a529492-left_36547-top_48573-right_37047-bottom_49073.png,https://computablebrain.emory.edu/histomics#?image=638147347f8a5e686a529492&bounds=36547%2C48573%2C37047%2C49073%2C0,Annotated-Cohort,iNFT;iNFT;Pre-NFT;iNFT;iNFT;iNFT;iNFT;background;iNFT,novice3;expert1;expert2;novice4;expert4;novice2;expert5;expert3;novice1
OS03-163_1A_TAU.svs,A03-74,638147637f8a5e686a52dded,Hippocampus,40.0,ROIv2,/workspace/data/rois/annotated-cohort/images/expert3_id-638147147f8a5e686a5265a3_left-36627_top-47431_right-39464_bottom-52356.png,36627,47431,39464,52356,https://computablebrain.emory.edu/histomics#?image=638147637f8a5e686a52dded&bounds=36627%2C47431%2C39464%2C52356%2C0,36627 47436 39455 47431 39464 52351 36636 52356,2828.0,4920.000000000003,36553,48564,37053,49064,36802 48813 36813 48815,36803,48814,/workspace/data/annotations/638147147f8a5e686a5265a3-left_36553-top_48564-right_37053-bottom_49064.png,https://computablebrain.emory.edu/histomics#?image=638147147f8a5e686a5265a3&bounds=36553%2C48564%2C37053%2C49064%2C0,Annotated-Cohort,background;background;background;background;background;background;background;iNFT;background,novice3;expert1;expert2;novice4;expert4;novice2;expert5;expert3;novice1
OS03-163_1A_TAU.svs,A03-74,638147637f8a5e686a52dded,Hippocampus,40.0,ROIv2,/workspace/data/rois/annotated-cohort/images/novice2_id-638147507f8a5e686a52be91_left-36627_top-47431_right-39464_bottom-52356.png,36627,47431,39464,52356,https://computablebrain.emory.edu/histomics#?image=638147637f8a5e686a52dded&bounds=36627%2C47431%2C39464%2C52356%2C0,36627 47436 39455 47431 39464 52351 36636 52356,2828.0,4920.000000000003,36558,51557,37058,52057,36798 51790 36816 51811,36808,51807,/workspace/data/annotations/638147507f8a5e686a52be91-left_36558-top_51557-right_37058-bottom_52057.png,https://computablebrain.emory.edu/histomics#?image=638147507f8a5e686a52be91&bounds=36558%2C51557%2C37058%2C52057%2C0,Annotated-Cohort,background;background;background;background;background;Pre-NFT;background;background;background,novice3;expert1;expert2;novice4;expert4;novice2;expert5;expert3;novice1
OS03-163_1A_TAU.svs,A03-74,638147637f8a5e686a52dded,Hippocampus,40.0,ROIv2,/workspace/data/rois/annotated-cohort/images/novice3_id-638147347f8a5e686a529492_left-36627_top-47431_right-39464_bottom-52356.png,36627,47431,39464,52356,https://computablebrain.emory.edu/histomics#?image=638147637f8a5e686a52dded&bounds=36627%2C47431%2C39464%2C52356%2C0,36627 47436 39455 47431 39464 52351 36636 52356,2828.0,4920.000000000003,36567,51549,37067,52049,36692 51674 36942 51924,36817,51799,/workspace/data/annotations/638147347f8a5e686a529492-left_36567-top_51549-right_37067-bottom_52049.png,https://computablebrain.emory.edu/histomics#?image=638147347f8a5e686a529492&bounds=36567%2C51549%2C37067%2C52049%2C0,Annotated-Cohort,Pre-NFT;background;background;background;Pre-NFT;background;Pre-NFT;background;background,novice3;expert1;expert2;novice4;expert4;novice2;expert5;expert3;novice1
OS03-163_1A_TAU.svs,A03-74,638147637f8a5e686a52dded,Hippocampus,40.0,ROIv2,/workspace/data/rois/annotated-cohort/images/novice1_id-638147477f8a5e686a52b0e5_left-36627_top-47431_right-39464_bottom-52356.png,36627,47431,39464,52356,https://computablebrain.emory.edu/histomics#?image=638147637f8a5e686a52dded&bounds=36627%2C47431%2C39464%2C52356%2C0,36627 47436 39455 47431 39464 52351 36636 52356,2828.0,4920.000000000003,36574,51548,37074,52048,36819 51786 36833 51799,36824,51798,/workspace/data/annotations/638147477f8a5e686a52b0e5-left_36574-top_51548-right_37074-bottom_52048.png,https://computablebrain.emory.edu/histomics#?image=638147477f8a5e686a52b0e5&bounds=36574%2C51548%2C37074%2C52048%2C0,Annotated-Cohort,background;background;background;Pre-NFT;background;background;background;background;Pre-NFT,novice3;expert1;expert2;novice4;expert4;novice2;expert5;expert3;novice1
OS03-163_1A_TAU.svs,A03-74,638147637f8a5e686a52dded,Hippocampus,40.0,ROIv2,/workspace/data/rois/annotated-cohort/images/expert2_id-6381473d7f8a5e686a52a563_left-36627_top-47431_right-39464_bottom-52356.png,36627,47431,39464,52356,https://computablebrain.emory.edu/histomics#?image=638147637f8a5e686a52dded&bounds=36627%2C47431%2C39464%2C52356%2C0,36627 47436 39455 47431 39464 52351 36636 52356,2828.0,4920.000000000003,36592,51534,37092,52034,36831 51769 36855 51789,36842,51784,/workspace/data/annotations/6381473d7f8a5e686a52a563-left_36592-top_51534-right_37092-bottom_52034.png,https://computablebrain.emory.edu/histomics#?image=6381473d7f8a5e686a52a563&bounds=36592%2C51534%2C37092%2C52034%2C0,Annotated-Cohort,background;background;Pre-NFT;background;background;background;background;background;background,novice3;expert1;expert2;novice4;expert4;novice2;expert5;expert3;novice1
OS03-163_1A_TAU.svs,A03-74,638147637f8a5e686a52dded,Hippocampus,40.0,ROIv2,/workspace/data/rois/annotated-cohort/images/novice2_id-638147507f8a5e686a52be91_left-36627_top-47431_right-39464_bottom-52356.png,36627,47431,39464,52356,https://computablebrain.emory.edu/histomics#?image=638147637f8a5e686a52dded&bounds=36627%2C47431%2C39464%2C52356%2C0,36627 47436 39455 47431 39464 52351 36636 52356,2828.0,4920.000000000003,36596,50173,37096,50673,36837 50421 36852 50439,36846,50423,/workspace/data/annotations/638147507f8a5e686a52be91-left_36596-top_50173-right_37096-bottom_50673.png,https://computablebrain.emory.edu/histomics#?image=638147507f8a5e686a52be91&bounds=36596%2C50173%2C37096%2C50673%2C0,Annotated-Cohort,background;background;background;Pre-NFT;background;Pre-NFT;background;background;background,novice3;expert1;expert2;novice4;expert4;novice2;expert5;expert3;novice1
OS03-163_1A_TAU.svs,A03-74,638147637f8a5e686a52dded,Hippocampus,40.0,ROIv2,/workspace/data/rois/annotated-cohort/images/novice4_id-640b6f40a7dbca00a13b168a_left-36627_top-47431_right-39464_bottom-52356.png,36627,47431,39464,52356,https://computablebrain.emory.edu/histomics#?image=638147637f8a5e686a52dded&bounds=36627%2C47431%2C39464%2C52356%2C0,36627 47436 39455 47431 39464 52351 36636 52356,2828.0,4920.000000000003,36597,49857,37097,50357,36839 50089 36851 50107,36847,50107,/workspace/data/annotations/640b6f40a7dbca00a13b168a-left_36597-top_49857-right_37097-bottom_50357.png,https://computablebrain.emory.edu/histomics#?image=640b6f40a7dbca00a13b168a&bounds=36597%2C49857%2C37097%2C50357%2C0,Annotated-Cohort,background;background;background;Pre-NFT;Pre-NFT;background;background;background;background,novice3;expert1;expert2;novice4;expert4;novice2;expert5;expert3;novice1
OS03-163_1A_TAU.svs,A03-74,638147637f8a5e686a52dded,Hippocampus,40.0,ROIv2,/workspace/data/rois/annotated-cohort/images/expert1_id-6381471f7f8a5e686a52765f_left-36627_top-47431_right-39464_bottom-52356.png,36627,47431,39464,52356,https://computablebrain.emory.edu/histomics#?image=638147637f8a5e686a52dded&bounds=36627%2C47431%2C39464%2C52356%2C0,36627 47436 39455 47431 39464 52351 36636 52356,2828.0,4920.000000000003,36601,51547,37101,52047,36827 51786 36864 51827,36851,51797,/workspace/data/annotations/6381471f7f8a5e686a52765f-left_36601-top_51547-right_37101-bottom_52047.png,https://computablebrain.emory.edu/histomics#?image=6381471f7f8a5e686a52765f&bounds=36601%2C51547%2C37101%2C52047%2C0,Annotated-Cohort,background;Pre-NFT;background;background;background;background;background;background;background,novice3;expert1;expert2;novice4;expert4;novice2;expert5;expert3;novice1
